step	inflow	LPA	LPA1	LPA1_1	LPA1_1_1	LPA1_1_2	LPA1_1_2_1	LPA1_1_2_2	LPA1_1_3	LPA1_2	LPA1_3	LPA1_3_1	LPA1_3_2	LPA1_4	LPA1_4_1	LPA2	LPA2_3	LPA3	LPA3_1	LPA3_1_1	LPA3_2	LPA3_2_1	LPA3_3	LPA3_4	LPA4	LPA5	LPA5_1	LPA6	LPA6_1	LPA7	LPA7_1	LPA8	LPA9	LPA9_1	LPA9_2	LPA10	LPA10_1	LPA10_1_1	LPA10_1_2	LPA10_2	LPA10_3	LPA_1	LPA_1_1	LPA_1_1_1	LPA_1_2	LPA_1_2_1	LPA_1_3	LPA_1_4	LPA_1_5	LPA_1_6	LPA_1_7	RPA	RPA1	RPA1_1	RPA1_1_1	RPA1_1_2_2	RPA1_1_3	RPA1_1_4	RPA1_2	RPA1_2_1	RPA1_2_2	RPA1_3	RPA1_4	RPA1_4_1	RPA1_4_1_1	RPA1_4_1_1_1	RPA1_4_1_2	RPA1_4_1_2_1	RPA1_4_2	RPA1_4_2_1	RPA1_4_3	RPA3	RPA3_1	RPA3_2	RPA3_3	RPA3_4	RPA3_5	RPA4	RPA4_1	RPA4_2	RPA4_2_1	RPA4_3	RPA5	RPA5_1	RPA5_1_1	RPA6	RPA6_1	RPA6_1_1	RPA6_1_2	RPA6_2	RPA7	RPA7_1	RPA8	RPA9	RPA10	RPA10_1	RPA11	RPA12	RPA12_1	RPA12_2	RPA12_3	RPA13	RPA14	RPA15	RPA_1	RPA_1_1	RPA_1_1_1	
00000	-160.460202	4.481663	1.876050	0.501262	0.548487	0.612535	0.499247	0.582177	0.982981	1.972196	4.244553	3.760422	2.805666	1.387294	1.343136	2.390952	1.431354	1.888555	2.009502	0.535384	2.446686	0.503737	2.203923	0.976404	1.064920	1.196103	0.920329	2.479380	1.228479	0.669000	1.025512	1.611032	1.912993	1.866496	1.131892	1.314986	1.879607	0.588853	0.637589	0.490757	1.094175	0.999198	0.682668	0.694493	0.894903	0.828599	0.548761	0.613947	0.900369	0.322276	0.511268	1.727795	0.762992	0.941634	0.723190	0.362332	0.748884	0.854987	0.894611	0.513022	1.088979	0.666293	3.318804	1.897014	0.785739	1.559893	0.722582	3.245284	0.863042	1.793792	1.800042	1.354349	0.483967	0.287136	0.906118	0.514541	0.481575	1.995742	0.572067	1.551442	1.116984	0.685167	3.909138	1.713897	0.507702	2.267002	0.717697	0.694272	0.496429	0.341829	2.435833	1.397525	1.331123	0.707272	1.316590	0.493337	1.167234	0.910189	0.143132	0.666778	0.414237	0.724700	1.373745	0.228866	0.662315	0.310220	0.113368	
00100	-160.460202	4.117357	0.407500	-0.040353	0.187205	0.615608	0.404927	0.756862	0.575927	1.328156	1.410265	1.257002	0.353491	0.481825	0.447734	0.144275	1.077476	0.962121	1.459934	0.450513	2.013395	0.798243	1.572943	0.391780	0.359178	1.307533	0.171865	0.823606	0.892452	0.808886	0.846394	1.588176	0.290420	0.786712	1.040341	0.369239	1.376604	0.437308	0.939034	0.556876	0.709406	1.915784	1.130086	0.832870	0.679799	1.341743	0.501758	0.836787	0.692910	0.160197	0.212162	4.970146	0.362422	0.761856	0.005566	0.248113	0.388116	0.445478	0.679255	0.501760	0.629210	0.097015	-0.124251	1.217091	0.286029	0.393932	0.741744	1.974892	0.232303	0.803928	0.503034	1.995738	0.263556	0.353830	1.158903	0.417183	1.150473	0.885209	0.380096	0.632836	0.100150	0.436827	2.645261	0.863713	0.339165	1.643131	0.251196	0.265002	0.143804	0.209759	1.665058	1.282423	0.847973	0.009029	2.382815	0.806468	0.936143	0.498638	0.168928	0.497685	-0.974502	0.495639	2.345407	0.872031	0.265888	0.153646	0.157436	
00200	-204.990665	9.320886	3.379527	0.748527	0.677178	0.972921	0.573435	0.819067	1.375668	2.582637	4.763430	4.536184	3.348990	2.016685	1.752403	3.172369	2.076564	2.995039	2.879293	0.775690	4.090818	0.769334	2.723856	1.600060	1.618983	2.119688	1.416742	3.604453	1.664740	1.264350	1.796585	2.932836	2.979865	2.611572	1.561109	2.629557	2.787320	0.510257	0.600397	0.608877	1.637896	1.754184	1.266602	1.166557	1.103680	1.151659	0.745226	1.270152	1.653832	0.478261	0.988535	4.361709	1.399544	1.964848	1.288790	0.654189	1.094991	0.738741	0.999014	0.601340	1.115432	1.084716	4.591574	2.777094	0.936185	1.903836	0.949783	4.880788	0.954550	2.309110	2.357767	3.209100	0.427990	0.282769	1.062230	0.667522	1.014502	2.799732	0.838475	2.859132	1.252045	0.796823	5.452971	2.172612	0.760721	2.818087	0.749328	0.715140	0.578302	0.418238	2.833572	1.562602	1.598887	0.859816	2.434407	0.711878	1.678971	2.454049	0.414756	1.279996	0.864071	1.052392	2.377517	0.644600	0.688308	0.373840	0.129401	
00300	-211.314711	10.824086	3.106634	0.549742	0.843783	1.142399	0.772724	0.853664	1.346877	2.907838	5.183361	5.242989	3.643274	2.032492	1.846973	3.478982	2.184087	2.589905	2.505789	0.640930	4.161259	0.854433	4.211259	1.664500	1.522744	2.676661	2.262024	3.733845	1.964944	1.420526	1.969865	3.138186	2.899802	2.847964	1.701357	2.799602	2.521181	0.725779	0.844862	0.759832	2.069621	1.691120	1.463437	1.470562	1.371713	1.460265	0.892850	1.231063	1.971344	0.495305	0.952080	5.432223	1.213757	2.654606	1.431068	1.057923	1.209904	1.232450	1.272155	0.835774	1.650102	0.830438	4.738565	2.874471	1.063360	2.137102	1.271683	5.392283	1.280379	2.674937	2.550874	3.070664	0.701492	0.413215	0.929571	0.849435	0.963618	2.745826	0.815631	2.779176	1.659591	1.103480	6.327322	2.469967	0.804091	3.899983	1.412209	1.266555	1.065465	0.601256	4.711896	2.570657	2.096862	1.119849	2.712305	0.937837	2.149030	1.749742	0.129632	0.877481	0.906763	1.340483	3.584588	0.598080	1.073326	0.472827	0.188026	
00400	-186.110875	10.777682	2.511420	0.839800	0.798106	0.925875	0.626409	0.870717	1.198800	2.730730	4.469450	4.428176	3.064353	1.651096	1.507603	2.681611	2.090188	2.592523	2.176539	0.640916	3.385626	0.748820	3.594428	1.609482	1.145059	2.696996	1.577900	3.246643	1.579027	1.112190	1.648321	2.552042	2.317214	2.322135	1.620628	2.099882	2.349012	0.838812	0.845309	1.195443	1.570685	1.304828	1.181749	1.118994	1.187482	1.488677	0.939133	0.794703	1.472743	0.636698	1.017380	4.937970	1.372002	1.471251	1.192757	0.647810	1.104091	0.980670	1.167030	0.865782	1.384215	1.233168	3.893681	2.465970	1.004646	1.944677	0.940469	4.741620	1.101396	2.473953	2.338156	2.981754	0.563740	0.345437	1.400346	0.776259	1.104758	3.018620	0.914885	2.400404	1.486379	0.938510	5.623695	2.254156	0.771221	3.637666	1.183693	1.053788	0.809874	0.495712	3.779884	2.006089	1.849379	1.254890	2.894821	0.936210	2.221612	1.797995	0.076701	1.159188	0.622450	1.111903	2.988566	0.486665	0.869350	0.417120	0.157931	
00500	-149.867130	9.233962	1.938750	0.658253	0.968597	0.767950	0.508098	0.707031	0.972941	2.305385	3.689117	3.334977	2.352041	1.262420	1.251417	2.008286	1.725729	2.078847	2.149329	0.639937	2.937617	0.739948	1.961447	1.181870	0.853881	2.196731	1.520392	2.442032	1.341220	0.774221	1.250730	1.832154	1.674050	1.770086	1.352915	1.673963	1.887599	0.744248	0.766302	0.760212	1.488750	2.301271	1.049832	0.898262	1.481727	1.270364	0.904087	0.893872	1.301181	0.838663	0.701236	3.412924	0.954385	1.516040	0.794118	0.611306	0.984721	0.867642	0.869842	0.705273	1.116870	0.831282	2.928874	1.907242	0.813137	1.556280	0.932174	3.706251	0.915621	2.053921	1.732646	2.146400	0.508321	0.329174	1.231024	0.646786	0.897784	2.271688	0.743328	2.000100	1.393508	0.743180	4.335391	1.872438	0.635791	3.318319	1.003173	0.858401	0.570328	0.413253	3.267509	1.876782	1.388478	0.977863	1.966889	0.858227	1.709901	1.634530	0.066585	0.868069	0.329139	0.897320	2.579605	0.538240	0.806962	0.348328	0.142309	
00600	-106.881451	7.098513	1.229251	0.499640	0.560956	0.658708	0.472838	0.700576	0.680547	1.624165	2.524355	2.354003	1.647476	0.877349	0.801994	1.310850	1.230847	1.647780	1.653801	0.550671	1.931567	0.582198	1.962986	0.998834	0.550504	1.240028	0.857854	1.638965	0.876769	0.605175	0.937665	1.269580	1.072912	1.199733	0.997567	1.007656	1.565960	0.509160	0.571987	0.821046	0.986698	1.487784	0.670798	0.821056	1.080231	1.215248	0.721205	0.600247	0.796868	0.773828	0.706962	2.588526	0.761369	1.297546	0.639894	0.605913	0.706528	0.657526	0.664440	0.553155	0.772734	0.677380	1.869070	1.214569	0.467236	0.956035	0.690951	2.550672	0.593575	1.496515	1.111754	1.787554	0.328803	0.284010	1.057212	0.557154	0.799115	1.547212	0.611892	1.368163	0.872231	0.484327	2.912064	1.386753	0.513978	2.673880	0.648711	0.751394	0.506528	0.321281	2.432791	1.590538	1.248309	0.676921	1.434338	0.443008	1.354050	0.975288	0.147873	0.571619	0.054045	1.107093	1.599939	0.384791	0.566054	0.246059	0.097642	
00700	-62.337926	4.199477	0.620750	0.261541	0.497602	0.486332	0.297578	0.404708	0.429409	1.043789	1.405553	1.112888	0.824694	0.448657	0.361647	0.597527	0.675649	1.055313	1.118281	0.412246	1.333554	0.407914	1.396815	0.660942	0.223287	1.081872	0.641250	0.805462	0.496043	0.234734	0.497926	0.530094	0.490475	0.574028	0.629236	0.747526	1.036455	0.473896	0.422081	0.603377	0.603415	0.705795	0.448586	0.415715	0.783965	0.848284	0.757193	0.305466	0.638334	0.466748	0.514042	1.605415	0.458396	0.888505	0.617018	0.427704	0.494718	0.504501	0.381956	0.407049	0.444287	0.421690	0.694451	0.523889	0.224173	0.422446	0.398085	1.432128	0.303709	0.839492	0.501762	1.071107	0.187114	0.165275	0.789706	0.305438	0.512963	0.751812	0.334355	0.615994	0.445793	0.246785	1.250298	0.631054	0.251873	1.387376	0.298192	0.340994	0.288565	0.160414	1.186552	0.730942	0.621355	0.397514	1.071479	0.285247	0.968410	0.941837	0.210774	0.513828	0.470251	0.602908	1.341973	0.291123	0.297441	0.145317	0.069850	
00800	-25.201966	2.747350	0.160288	0.141999	0.269468	0.274926	0.177980	0.272980	0.163192	0.349358	0.298686	0.122200	0.099610	0.065604	0.062947	0.065422	0.111968	0.424355	0.617624	0.218104	0.431669	0.153206	0.469990	0.415453	0.043020	0.560468	0.438399	0.131036	0.132214	0.065915	0.195210	0.136504	0.003290	0.068967	0.147272	0.292799	0.445792	0.172376	0.229214	0.329210	0.186945	0.513316	0.177924	0.282631	0.505044	0.691212	0.503181	0.136699	0.362168	0.364965	0.338548	1.805423	0.190677	0.587844	0.250641	0.289366	0.213037	0.268754	0.189345	0.193775	0.166464	0.158921	-0.017779	0.051798	0.014308	0.013551	0.142769	0.329542	0.049087	0.226520	-0.009949	0.527225	0.095141	0.098538	0.483020	0.164685	0.277035	0.214108	0.161183	0.277663	0.099327	-0.015565	0.203142	0.140624	0.084066	0.820471	0.178345	0.206974	0.128886	0.112233	0.247888	0.270864	0.175234	0.060139	0.248446	0.095338	0.459803	0.981305	0.179020	0.446791	0.615288	0.304163	1.258902	0.359353	0.101130	0.057698	0.031098	
00900	-9.420289	1.129624	0.026540	0.013073	0.134543	0.094020	0.007759	0.032254	0.095405	-0.020978	-0.197165	-0.211331	-0.080184	-0.058094	-0.018463	0.074547	-0.096663	0.107122	0.210285	0.132808	0.048570	0.039867	0.011763	0.120989	0.011544	0.182125	0.164881	-0.061427	-0.042263	0.040018	0.089267	-0.060673	-0.047432	-0.016222	-0.049468	0.035023	0.132968	0.116538	0.064458	0.062807	0.051424	0.015040	0.121884	0.137137	0.170374	0.292480	0.353977	0.128381	0.181174	0.214332	0.228277	0.652050	0.106361	0.175986	0.191409	0.086861	0.101692	0.094858	0.038985	0.081142	0.016573	0.094642	-0.264748	-0.095834	-0.036056	-0.102832	0.027600	-0.243857	-0.038095	-0.124570	-0.166948	0.282919	0.043202	0.064386	0.285071	0.080239	0.127808	-0.077012	0.001066	0.088619	0.008789	-0.011183	-0.123249	-0.085972	-0.024844	0.150950	-0.029834	-0.003329	0.003644	0.018252	-0.032734	0.066546	0.135355	-0.015604	0.207210	0.081153	0.112157	0.756077	0.144700	0.318415	0.378641	0.180200	0.576094	0.193083	0.019917	0.014739	0.012804	
