step	inflow	LPA	LPA1	LPA1_1	LPA1_1_1	LPA1_1_2	LPA1_1_2_1	LPA1_1_2_2	LPA1_1_3	LPA1_2	LPA1_3	LPA1_3_1	LPA1_3_2	LPA1_4	LPA1_4_1	LPA2	LPA2_3	LPA3	LPA3_1	LPA3_1_1	LPA3_2	LPA3_2_1	LPA3_3	LPA3_4	LPA4	LPA5	LPA5_1	LPA6	LPA6_1	LPA7	LPA7_1	LPA8	LPA9	LPA9_1	LPA9_2	LPA10	LPA10_1	LPA10_1_1	LPA10_1_2	LPA10_2	LPA10_3	LPA_1	LPA_1_1	LPA_1_1_1	LPA_1_2	LPA_1_2_1	LPA_1_3	LPA_1_4	LPA_1_5	LPA_1_6	LPA_1_7	RPA	RPA1	RPA1_1	RPA1_1_1	RPA1_1_2_2	RPA1_1_3	RPA1_1_4	RPA1_2	RPA1_2_1	RPA1_2_2	RPA1_3	RPA1_4	RPA1_4_1	RPA1_4_1_1	RPA1_4_1_1_1	RPA1_4_1_2	RPA1_4_1_2_1	RPA1_4_2	RPA1_4_2_1	RPA1_4_3	RPA3	RPA3_1	RPA3_2	RPA3_3	RPA3_4	RPA3_5	RPA4	RPA4_1	RPA4_2	RPA4_2_1	RPA4_3	RPA5	RPA5_1	RPA5_1_1	RPA6	RPA6_1	RPA6_1_1	RPA6_1_2	RPA6_2	RPA7	RPA7_1	RPA8	RPA9	RPA10	RPA10_1	RPA11	RPA12	RPA12_1	RPA12_2	RPA12_3	RPA13	RPA14	RPA15	RPA_1	RPA_1_1	RPA_1_1_1	
00000	63623.930693583694	18639.204912467663	24246.669635408445	19718.366072399174	16849.068186604887	17556.578355102625	18287.73318085703	17676.102169525733	21625.12110796603	20555.92382728885	24419.166093286596	24768.386569782633	24871.89457482317	25252.685664694844	26347.444830339326	28875.8004495063	21946.20172770721	22931.048831074688	20000.25258132564	19023.78970142795	23325.065778652177	20476.26711102882	22407.009495077804	18993.397394832373	28723.347483614936	19154.450674992782	19748.740547229478	25103.046470028545	23773.675262689223	22128.862198476512	21713.80051804868	22695.7989925982	28368.251640142902	27054.930964345534	21595.323268581084	21324.350052368205	20364.858576741728	19139.651280573173	19046.612480452754	16602.64830050067	21253.803511512207	17960.974465368658	19201.9809784541	19198.57854351178	18419.492779619457	17412.079273512983	16021.103498514693	20761.9079206893	19857.837412741894	16179.55505718771	17593.463585200974	18283.445817479947	17954.51727342298	17156.360813002517	17637.973041913916	16343.657097872654	18996.89674705181	18463.173867138456	20240.79875177926	16593.060696487722	20580.096167505635	18389.972469922148	27703.53167073459	26853.865144117182	25218.856835546325	25763.342843107617	20759.661282206118	23151.492956801718	23382.060717840624	21414.573814879615	25455.856972099024	18772.38076961754	19777.458896578486	18076.159765788372	16757.39931623344	18380.550609867107	16988.6039898563	23614.54545246225	19207.625750532636	22969.17560908842	22735.906512848214	23672.868265224068	25202.343496909634	23622.347687048572	21035.38131653921	19628.25934246443	20551.299950519544	20547.139826861745	19606.58791420498	18624.74900464499	22159.39008855309	20557.993506946867	21782.08288155569	22110.70765486469	20592.015136298418	20070.573329870804	19601.118154511594	16095.863907243485	16185.19214518917	16980.841794689186	16271.483033511824	19226.054052095787	17599.91546337964	16775.548577635956	19886.980611922085	20066.59257236483	18338.53511087645	
00100	90575.76342541708	24212.838329451602	30676.35586570765	25446.194912490486	19416.06618576243	19716.245327974742	20724.94877659345	20144.19522578204	27892.999999999996	23837.5985566632	31881.469193852787	34006.98198355128	33208.80848451309	33375.50012397719	35271.966307385235	40893.06166822394	27649.83913921333	30366.776343609676	24787.28565282558	22040.34876676763	29471.80464756253	23731.911374436837	28046.274753890128	21428.78921394168	38519.12164031026	25492.52006930407	23627.619826756494	33232.9653472883	30458.10781834372	29139.797079983073	27538.19958157606	31429.926076571996	40706.35709645989	36941.66095357741	27204.945463320462	25094.234469917374	25511.77726770514	21941.974388536608	21652.994489537567	17364.209751679373	24816.119055883373	24791.929141398025	23842.602858565027	23369.35142887877	21659.5370782435	19796.90376696971	16688.9775406331	27559.045883940624	24192.682984300904	17626.18908788005	19555.16647241	26870.544476366904	21424.539548485838	21086.377928845024	20428.31989904143	18789.63864376991	23486.99122167749	21188.208052733706	25816.896419577355	17924.05792127958	25033.742194496772	21709.869214437367	40556.65053932761	40227.05490628445	33485.3419627624	34626.59318319226	26354.20913848631	31049.040796887577	31630.690145793076	26934.18951512122	35559.876065553144	24599.276271243256	21908.918439945668	20650.37607695525	18649.04753723779	21833.973193154925	19847.069551986475	29908.121313503976	22037.62865582026	29065.708075554343	27842.25634694035	30679.737992543316	36226.99990675618	32186.33643932293	25521.534712850502	24622.449223373675	25631.92855022266	25954.32521642282	23405.16317749807	20537.55698407432	29341.084621009017	25020.3159719798	27059.23043606364	27502.054644492087	28831.616929698706	26654.518665195093	24270.679538627897	18883.697419274406	17490.547148069905	19116.157416827755	18140.371487876782	23791.376951780607	21647.96596882541	17821.984180867676	22389.95914493605	23836.881157837248	22590.68479408659	
00200	125909.88635281428	26948.70345574396	41385.74963360465	29312.291444722254	20783.077111415336	22729.40838237405	23510.103611962197	22952.848795408678	32578.098598193825	27607.32575989236	36886.367053114045	39361.14281270608	39226.47507047369	42001.58676632071	43873.81976047905	51172.32634662491	32313.90980652746	37169.14852701315	30330.76564061286	25067.72017885475	36728.62590508136	27844.64204159724	28547.72840584313	25151.4927752865	51332.92057001984	26932.054486716723	28089.96095146432	40179.07647954329	37414.20213713268	38651.36706517139	35719.238103144824	40154.69392484688	52193.000909386166	46466.47029791815	31508.334640444013	31715.19352961713	30613.811316350508	24824.397718850367	24839.92318862164	17537.27866254057	30894.781123452503	23779.41411460346	29105.043660669842	28673.339452830864	24776.797466055134	22112.038383138326	17923.813040434427	34475.66147617565	28150.17914052605	18661.87658988242	23069.60188484465	28262.659896393747	25445.911173062203	22682.987490941716	23227.71264398679	20486.67628428106	27455.44461375381	24707.157658943044	30490.5027920727	19461.4784697562	29088.380531793337	25576.719639065817	49144.784288638686	47580.32934320365	41257.30598620281	41927.457338270855	30424.34500805153	36120.62794472767	37369.993910650504	31173.31250520703	42542.411248466546	27839.073911440355	25982.44337364983	23367.720535340864	20157.295771986188	24599.423630074638	22134.8095350803	36025.43117394991	25052.326748014722	37067.68524500411	34372.51350412841	37143.59770451056	43368.62739769821	37292.82797596075	30284.420227920233	25553.758243350967	28593.490450272147	28552.782159671948	26075.96326740303	23770.586512939615	31839.25254691689	27221.63915846308	31121.94387153801	31906.78460914411	33128.14571975131	29819.278647016814	27307.838447675116	20610.54836055355	19602.54714806991	20396.82828873741	19624.407616870223	27779.44132884107	23654.41596556447	21166.944395410414	23562.5246531387	27282.051774986347	26209.38516367476	
00300	131262.5515774974	33133.62128621398	44989.775991522176	31630.06522448092	22957.008003369843	25019.701507104925	25697.140076813535	24481.659939455098	35469.90480522981	30221.189621429883	39621.914985171206	42983.76005026689	42681.96357850682	47348.041408380865	48897.32846307385	57340.07896664056	36096.52965982569	42222.48226978917	30797.637407016766	26833.228135968075	42540.389447033594	31486.0736900574	38463.95128612258	27754.99720027523	57010.7075942517	32674.089644094714	30928.088106696	45533.676879162704	41457.36028495102	43638.296709691065	40494.54086275031	43756.393454253084	59696.27093212082	52997.507776980136	34787.10454874517	38768.13115326429	33493.31857580803	26777.20719756238	26098.42374711445	19402.60324049614	36185.33191600139	28544.7353973827	32820.0413496409	31739.570726809852	27177.350846918853	23915.06410779078	19028.81843295302	36594.29180940517	34813.590262437036	20529.804632685096	24993.24396416797	34327.23113955784	27785.293757516123	26198.487991304046	25775.158687538602	23912.06923950057	30650.770604213598	25440.144104554274	32711.232380743822	20090.688191936977	31777.970229455543	26689.228768577494	54471.23915439729	54826.59776342731	46496.44618351754	47200.473511185	34077.823117954904	40823.130292460424	41647.328415012584	33997.85853536616	47629.85782139599	32967.747108906246	29680.4795938167	26020.104809703054	20739.000721562697	27438.564582195522	24499.84818258664	42406.9401452829	27639.085657563435	44359.591869696145	38101.28767651825	41635.414138460415	50045.222293265135	41853.320256933344	32807.005997900735	30617.63563784815	32139.613656605645	32005.35614843315	29513.50199075263	25696.26808228268	39282.12605410675	32810.50145453699	33702.82987625221	37716.94361708292	37985.56446676231	34794.73654482893	31644.770058873	21527.183580600922	21307.607835605915	22810.133279072135	22459.116298658326	31686.883164873387	26618.365799256506	23460.603978545725	27028.73150449677	30397.642053522664	27310.491552270327	
00400	113277.81200400948	36300.5734592676	44740.915379585575	34231.04283074247	23755.460720303287	25688.570144969144	26442.574289043285	25123.227106458125	35428.58272678259	31681.930814629075	40248.500814235646	43507.49857535678	43001.00930425609	48202.244341326914	49439.562195608785	57323.38713098816	37769.7388504102	44183.66194800749	30216.6421394471	26614.02519351892	45429.61276225186	33876.130099364316	45984.799047316614	29168.37283792441	56362.02627623113	37503.64797502166	33823.63126632751	48157.13164605138	42832.42650044523	45796.60161870503	41733.508318666354	44950.08520349044	61058.630691783044	54655.355019143324	36032.79744811776	39788.82795298498	33344.59712734007	28133.44902412913	27152.423151388786	22424.377110222158	39770.22914497281	31591.629260671627	34109.944108653915	32420.20076015633	28341.659007311206	24883.401912022506	19763.50920512384	36522.949756046924	36882.428382080056	22042.310607759584	26097.7257317926	40057.642147999424	29324.616814256042	26740.988370889263	25848.824584485676	24290.49426970818	30848.33278123758	25283.795828101815	32891.291616482355	21193.85434633404	32787.08798369414	28139.77788393489	55875.87788363121	56413.256575838706	47879.09101698687	47913.61014963724	35122.51947463768	41931.372108934804	42614.48843609111	35091.701512121974	49104.14460067314	34920.0173633225	31273.338723239114	27084.742032622333	21485.44449980243	29122.363462588753	26654.975181741334	45712.14668072137	29700.054570985863	45615.12786750616	40799.308164210204	43875.01147744718	53196.60797634271	43472.30561834923	34699.1914080072	32467.284247650794	33442.65477486393	33061.87389257328	31104.05227331107	27048.42709024552	42181.7106832399	35164.42598152156	35055.267147908075	41665.083907979366	39561.76984696317	36797.602739726026	34285.19490568305	23068.757723475876	21415.759842519685	24407.680562620815	22249.19824318633	33626.9470347426	28273.44054001174	26643.772829112633	30178.58561937904	32267.764172583287	27075.78009503696	
00500	85408.72418412029	35666.05968270065	42307.156659376335	34604.52511142515	24228.72333087616	25555.926309745944	25438.743365123202	24882.375094601415	33063.58757918857	31385.0383615681	37821.23461849555	40904.04664617834	40405.204295868425	45164.38004321491	45647.345229540915	51840.45304174348	37374.16142305824	42153.511065020844	30236.69956700344	26224.426703206886	43754.40094499363	34285.235203357406	41844.42367418228	29359.91164258429	51484.24472370873	36750.47971412071	33372.819414271966	45261.37815413892	40833.27002671416	42593.98233178163	39851.283664862356	41204.79518528153	55978.431438778825	51144.60038286671	34937.598847731664	40660.2438263703	31157.449744012698	27974.92197150622	27224.436517983468	23244.695322917454	39189.30588337383	32200.897122314247	31543.277856787314	30584.959518089567	30072.482085282234	24745.111337600392	20425.708955365084	34317.919599294095	34853.71729845954	24343.391631691924	26280.928102833925	37148.4945922861	29189.774024270246	26156.659443044962	25584.395591117795	24103.09472373769	30296.653206572148	25047.870990754484	30916.167414869156	21525.199188326224	31430.170161514467	27985.149186128805	51224.51320762145	52072.24457394865	44928.0979155849	45185.19090084643	34456.597624798706	39692.42662999732	40374.74249077815	34125.502436890776	45939.46324431443	33928.993044615025	29999.561412586507	26273.533166039317	21633.330063394435	28297.80534316403	26769.99915469146	43569.40887738033	29072.87754212667	42645.539857651245	39091.39015356123	41797.045398055416	49646.40200074595	41395.75847714616	34226.627680311896	32497.349795878927	32152.993270658095	32045.027388244824	29980.521898278963	26942.97403782349	40274.76105288813	34842.37042984477	34149.347583971714	39415.850727241115	38045.3631755141	35195.01369863014	33545.30424125916	23608.445904500684	21195.776934895333	23263.10026452335	23611.91537813609	32801.540448501975	28588.248366268832	27676.24645257655	31087.55208568717	31406.089677771713	25895.046198521646	
00600	57238.06960338205	33055.120676022925	37370.33870713175	31878.839656484397	23378.077111415336	23909.42798909143	23954.626763906268	23533.067450807266	29746.916936244776	29435.59803681732	33944.88414127797	36414.657849224226	35743.110232952284	39154.37026672807	40057.611656686626	43708.374403394024	34802.97968154983	37283.668895108836	28201.663470078827	25430.311745757008	38480.27941816775	32286.063259890147	36846.835042870756	27969.156072792848	43349.339306115085	34740.85577894889	31793.0682799395	40163.15343482398	36828.64103294747	37019.37701015658	35410.583468933684	36553.5868943174	47502.94082494316	44479.55820770519	32393.642042712356	36826.54553706505	28689.687648807212	26453.152186444866	25838.922779060245	23293.884469268123	35058.68399282657	29943.699615300622	28074.939095498823	27517.551364337196	28194.33892647927	24078.76140486771	20614.436945374735	30800.29502750961	31603.996112043827	24357.355973472593	25811.530520496854	31263.96211827086	26441.408521919755	25891.59953759619	24460.93456488468	23809.416462231336	27377.102027295616	23329.268548110947	27932.208182780392	21288.448061830444	28393.497606621168	25592.239065817408	43052.88713487127	44584.12234997637	39185.8672205326	39596.93285217654	31882.107035024153	36023.64386906359	36018.21576204696	31596.74402232775	39859.373030102855	30879.361964938158	27274.02742384063	24619.708406524467	21804.693009431856	26950.552748953218	25976.752595097212	37881.02724627054	26142.14589386016	37716.12532165344	35744.40334902384	36841.441552745084	43492.16152493606	37459.55982246237	31990.87974209027	30815.614525207136	30209.263334982687	30208.169847618086	28428.842730541997	25789.564781021898	36191.546104476394	32947.05701785008	32625.04510901591	35669.29518456278	33534.05200860832	31564.915535934557	30934.49513396612	22717.139795536714	19729.94881889764	22093.228914436873	22147.712712833163	30068.29630837228	26765.624730972417	26359.63778939507	29261.067293352015	28748.585690879303	24059.530623020062	
00700	33422.31140892349	28879.922991311225	29986.06755202814	27417.682791607782	21874.520929865208	21892.750423424717	21962.348811116386	21707.93724772957	25549.569011996227	26120.47905326891	28750.998360744135	30138.90913389158	29600.847603894646	31350.18571782792	31965.57652694611	33457.541301548015	30205.974135507447	30848.861964116713	24877.16333129788	23577.065099283616	31509.071519569112	28150.75708202185	32358.641267068917	25618.62519277766	33203.65233599904	29658.892759168353	28577.555781658186	32390.60146527117	30855.39341050757	30581.59966144731	30028.019991365854	30692.77307446733	36117.429002923025	35035.755533620475	28271.361154681465	29818.415477714414	25674.34188699211	23699.899365889814	23512.37028073572	21647.158250937176	29539.81458984149	26058.689485443585	25398.422953850528	24782.043637276347	24930.513623359522	22345.12837865384	20075.478723202963	26891.592235025437	26809.114930340784	22072.515394226764	24027.84601551833	27184.449666662964	23191.13359571444	23649.253752717483	22634.48997126977	22140.30057485995	24167.49155293494	21335.852271430205	24161.56107887149	19938.025394646535	24514.902072202836	22978.510544939843	33769.757046689236	34592.06019845645	31540.094577553595	32054.546402660217	27761.180706521736	30539.979661926485	29787.51373031208	27535.3307714738	32223.426661633795	26659.884842288742	24095.08809262014	22455.97147636972	19953.40428127201	24027.427908246864	24213.78725274725	31027.296271683586	23916.071276389695	31819.852997536273	30234.730534763483	30101.888442137584	34824.07330296249	31157.35722556101	28136.778227620332	27271.409546585503	26872.37011380505	26811.964663595405	25953.015026971487	23388.895819508954	30516.160841660574	28224.73385463939	28437.869328226283	29390.666222402502	28932.81826877092	27234.170096734404	27375.79956746366	20913.021156962972	19172.24755137315	21050.48445925323	20335.480927742014	26224.471615404123	24346.246774929892	23777.068979564123	25042.073982012924	24814.551720371383	21743.185850052796	
00800	21240.05920021674	24129.178128518266	22603.76501093549	21816.404826611586	19608.92365206403	19671.28959379934	19602.083200276185	19599.90407416751	20728.15608572584	22107.176976943305	22732.300285791316	23003.693085814535	22657.14283243692	23554.88293011229	23417.611936127745	23624.297911563423	23940.067140337873	24352.643744588313	21726.010991451094	21185.37900860618	24639.049926625925	23568.431525026233	25195.826786281363	22288.03278999692	23379.833263183213	24653.456829338724	24122.907795957653	24062.904681255946	23876.11658058771	23764.295598815064	23928.33560256368	24301.913164802423	24895.818447547903	24850.567839195977	23174.368303571428	23573.12568369603	21763.308211823656	20782.79280243762	20744.857584332414	19698.466727048584	23406.486347333102	22171.608849765653	21818.59805873569	21649.379647889848	21548.491962217882	20299.46760976803	18643.11216438667	22508.404598775047	22731.30844452299	19626.213148367668	20793.0083585867	23268.703590722027	19843.662184322726	20575.773387625522	20189.362994388208	19842.503423528986	20430.36226315092	19048.532673210822	20263.013869119313	18250.1643639402	20395.910503072788	19843.554246284504	24046.424474450832	24737.278689557406	23508.82249091314	23913.50774637243	22955.361010466986	24123.902106251677	23121.738977691904	22723.805631925356	23838.926079708093	22273.84585861295	20333.34059892633	19758.829861982435	18320.779545415502	20997.286409976336	21482.958748943365	24223.860652168933	21245.29842146039	24910.662058581987	24095.33061964658	23375.200964982818	25386.37402760017	24056.87384903788	23106.80251911831	22927.789948546993	22323.576991588325	22398.3715891257	22154.58284099666	20585.83999668215	23809.025119831014	22622.81095673625	22676.953211549797	22805.543026018426	23463.445982783356	22614.029344932806	22442.057431214704	19328.55576611395	17935.830612636833	18942.67659477058	19106.510318272063	21722.502300474585	21591.45565773169	21598.215764817705	20655.882812853077	20552.671436373566	19057.08025343189	
00900	20185.59994122259	20062.592134551425	17453.922256544385	17496.557180128275	17194.28901642797	17403.675211712358	17302.364864281706	17426.856048183654	17002.611672732175	17959.19098220292	17408.344578053384	17081.690510258675	17162.192501253827	17325.911232333252	16945.430299401196	17011.939341902573	17804.20073095305	19078.85805763074	18413.323193072058	18175.179527861914	18834.979648771994	18841.018391655867	19648.894093362975	18846.04213823048	17196.897480608503	19888.428385792664	19516.658187817953	17661.90167459562	17685.432270703473	18710.06284384257	18856.37857403779	18949.474093693098	17124.823806430657	17137.279103852597	17816.016620415056	18469.37437449086	18075.958544062494	17883.319608004615	17868.341536972224	17475.542481193548	18395.34328358209	18566.067532380264	18773.316433193482	18650.27950087848	18633.15589664411	18136.320742794243	17167.098408733986	18404.137184677675	18757.316161526905	17522.087143177523	18101.14352792301	19402.126834462942	17110.874385044277	17845.391800959314	17588.681980506404	17530.391344147047	17394.38369550815	16959.347934025798	17079.238329866053	16470.44439139387	17029.79636206417	17151.901238499646	17028.882824187072	17519.989982674437	17299.41235813367	17265.225551692864	18296.066072866346	18273.854212503353	17690.951402306924	18016.068462051153	17261.36846906357	18399.69890725036	17227.95343121402	17188.881806775407	17064.186816018693	17843.33706535591	18373.03550295858	18368.84800293316	17778.39492543095	18891.18009854914	18563.33459371865	17906.49798961912	18256.917013000853	18067.627860175333	18140.410631279054	18890.718119670506	18372.34245423058	18439.707740596365	18440.159195992805	17670.21532846715	18623.274222113898	18401.988712792943	18240.579787860934	18590.095903111778	19081.991296030606	18760.068752840358	18675.499795746728	17720.85865852138	16758.449971192626	17288.252848712997	17565.502707418324	18428.806035575843	18801.999347811907	18960.523525018667	17053.05816423374	17024.75095576188	16576.03959873284	
